協力者,調査地,母語,年齢,性別,J-CAT (合計)
CCH02,中国語(中国D有),-,-,-,-
JJN58,国内自然習得,-,-,-,-
JJN55,国内自然習得,英語,38,男性,175
HHG35,ハンガリー語,ハンガリー語,24,男性,172
KKD47,韓国語,韓国語,19,男性,231
JJN56,国内自然習得,-,-,-,-
IID51,インドネシア語,インドネシア語,20,女性,172
VVN01,ベトナム語,ベトナム語,20,男性,231
JJN53,国内自然習得,タガログ語,31,女性,245
JJN52,国内自然習得,インドネシア語,56,男性,81
GAT20,ドイツ語,ドイツ語,21,女性,172
HHG20,ハンガリー語,ハンガリー語,22,女性,231
HHG07,ハンガリー語,ハンガリー語,23,女性,172
KKD10,韓国語,韓国語,25,女性,231
JJN63,国内自然習得,韓国語,43,女性,230
SES50,スペイン語,スペイン語,25,女性,172
JJE69,国内教室環境,英語,17,男性,232
KKD01,韓国語,-,-,-,-
CCH24,中国語(中国D有),中国語,20,男性,171
JJE70,国内教室環境,韓国語,20,女性,232
KKD02,韓国語,-,-,-,-
JJN59,国内自然習得,韓国語,51,女性,294
RRS28,ロシア語,ロシア語,22,女性,172
CCT43,中国語(台湾),中国語（台湾）,21,女性,232
SES32,スペイン語,スペイン語,23,女性,172
GAT33,ドイツ語,ドイツ語,25,女性,232
VVN44,ベトナム語,ベトナム語,20,女性,229
JJN48,国内自然習得,中国語,26,女性,155
JJN47,国内自然習得,-,-,-,-
TTR13,トルコ語,トルコ語,20,女性,173
HHG39,ハンガリー語,ハンガリー語,31,男性,230
HHG37,ハンガリー語,ハンガリー語,26,女性,230
JJE46,国内教室環境,ベトナム語,26,女性,173
JJN46,国内自然習得,中国語,63,女性,126
JJN44,国内自然習得,スペイン語,54,男性,58
IID14,インドネシア語,インドネシア語,21,男性,173
CCS44,中国語(台湾),中国語（台湾）,21,女性,230
TTR39,トルコ語,トルコ語,25,女性,173
ENZ33,英語(D無),英語,19,女性,172
CCH15,中国語(中国D有),中国語,21,女性,231
JJN51,国内自然習得,-,-,-,-
FFR42,フランス語,フランス語,20,男性,172
EAU15,英語(D無),英語,23,女性,231
JJN50,国内自然習得,中国語,51,男性,134
JJN49,国内自然習得,-,-,-,-
ENZ02,英語(D無),英語,21,女性,172
CCH06,中国語(中国D有),中国語,21,女性,231
KKD15,韓国語,韓国語,20,男性,264
KKD12,韓国語,韓国語,25,女性,295
IID11,インドネシア語,インドネシア語,21,女性,170
CCM08,中国語(中国D無),中国語,22,男性,235
KKD14,韓国語,-,-,-,-
JJC16,国内教室環境,ベトナム語,21,男性,170
CCM10,中国語(中国D無),中国語,19,女性,235
KKD11,韓国語,韓国語,31,男性,327
CCT58,中国語(台湾),中国語（台湾）,20,女性,234
GAT27,ドイツ語,ドイツ語,26,男性,170
RRS14,ロシア語,ロシア語,22,女性,234
KKD17,韓国語,-,-,-,-
TTR29,トルコ語,トルコ語,24,女性,170
EAU34,英語(D無),英語,21,男性,235
KKD18,韓国語,-,-,-,-
VVN17,ベトナム語,ベトナム語,21,女性,170
GAT37,ドイツ語,ドイツ語,22,男性,235
KKD19,韓国語,-,-,-,-
KKD16,韓国語,-,-,-,-
RRS41,ロシア語,ロシア語,19,女性,170
CCM48,中国語(中国D無),中国語,22,男性,235
TTH30,タイ語,タイ語,21,女性,170
CCS31,中国語(台湾),中国語（台湾）,21,女性,235
EUS17,英語(D有),英語,21,女性,170
KKD05,韓国語,-,-,-,-
FFR44,フランス語,フランス語,21,女性,171
TTR26,トルコ語,トルコ語,21,女性,232
KKD06,韓国語,-,-,-,-
IID47,インドネシア語,インドネシア語,20,女性,171
KKD04,韓国語,-,-,-,-
EUS27,英語(D有),英語,21,女性,171
RRS11,ロシア語,ロシア語,23,女性,232
FFR15,フランス語,フランス語,20,女性,171
TTH34,タイ語,タイ語,20,女性,232
VVN48,ベトナム語,ベトナム語,21,女性,232
KKD07,韓国語,-,-,-,-
KKD09,韓国語,韓国語,23,女性,345
JJE67,国内教室環境,中国語,25,女性,171
VVN57,ベトナム語,ベトナム語,22,女性,233
CCS47,中国語(台湾),中国語（台湾）,23,女性,234
JJE56,国内教室環境,中国語,22,女性,171
JJN16,国内自然習得,ポルトガル語,45,女性,233
JJE55,国内教室環境,中国語,28,男性,171
KKD08,韓国語,-,-,-,-
GDE12,ドイツ語,ドイツ語,20,男性,173
KKR34,韓国語,韓国語,22,女性,286
JJN31,国内自然習得,ベトナム語,29,男性,227
JJN17,国内自然習得,ポルトガル語,42,女性,265
FFR07,フランス語,フランス語,29,男性,176
JJN29,国内自然習得,フランス語,41,女性,227
JJN18,国内自然習得,-,-,-,-
JJN15,国内自然習得,-,-,-,-
TTR18,トルコ語,トルコ語,25,男性,177
CCH39,中国語(中国D有),中国語,20,男性,227
JJN09,国内自然習得,ポルトガル語,40,女性,227
CCH63,中国語(中国D有),中国語,21,女性,176
GAT06,ドイツ語,ドイツ語,22,女性,176
JJN19,国内自然習得,-,-,-,-
JJN21,国内自然習得,-,-,-,-
KKR57,韓国語,韓国語,24,女性,176
CCS36,中国語(台湾),中国語（台湾）,21,女性,228
JJN23,国内自然習得,-,-,-,-
TTR60,トルコ語,トルコ語,19,女性,227
JJE18,国内教室環境,ベトナム語,23,男性,176
JJN20,国内自然習得,英語,42,男性,281
IID16,インドネシア語,インドネシア語,20,女性,176
RRS12,ロシア語,ロシア語,17,女性,227
JJN43,国内自然習得,クメール語,36,男性,127
JJN11,国内自然習得,-,-,-,-
JJC28,国内教室環境,中国語,23,男性,178
TTH42,タイ語,タイ語,20,女性,225
JJN10,国内自然習得,-,-,-,-
JJN07,国内自然習得,ポルトガル語,45,女性,178
FFR03,フランス語,フランス語,27,男性,226
JJN08,国内自然習得,ポルトガル語,46,男性,186
HHG60,ハンガリー語,ハンガリー語,20,男性,178
KKR09,韓国語,韓国語,24,男性,225
IID07,インドネシア語,インドネシア語,21,女性,178
RRS57,ロシア語,ロシア語,23,女性,225
JJN13,国内自然習得,ポルトガル語,44,女性,251
CCS43,中国語(台湾),中国語（台湾）,21,女性,177
KKD38,韓国語,韓国語,26,女性,226
JJN14,国内自然習得,-,-,-,-
KKD34,韓国語,韓国語,26,男性,177
CCH13,中国語(中国D有),中国語,22,女性,227
JJN12,国内自然習得,ポルトガル語,47,女性,240
GAT31,ドイツ語,ドイツ語,21,女性,226
SES23,スペイン語,スペイン語,46,男性,178
JJN39,国内自然習得,ロシア語,52,女性,174
JJN34,国内自然習得,ロシア語,35,女性,217
HHG45,ハンガリー語,ハンガリー語,22,女性,229
JJN36,国内自然習得,-,-,-,-
KKR07,韓国語,韓国語,21,女性,174
JJC33,国内教室環境,中国語,22,男性,229
JJN33,国内自然習得,韓国語,35,女性,258
JJN32,国内自然習得,ヒンディー語,20,男性,113
CCH31,中国語(中国D有),中国語,20,男性,174
EUS32,英語(D有),英語,22,男性,229
CCS21,中国語(台湾),中国語（台湾）,21,女性,174
GAT11,ドイツ語,ドイツ語,20,男性,229
CCM14,中国語(中国D無),中国語,21,女性,175
JJN42,国内自然習得,-,-,-,-
FFR23,フランス語,フランス語,21,男性,173
VVN31,ベトナム語,ベトナム語,20,女性,229
TTH46,タイ語,タイ語,22,女性,229
JJN40,国内自然習得,-,-,-,-
TTH20,タイ語,タイ語,21,男性,174
KKD55,韓国語,韓国語,22,女性,229
EGB26,英語(D有),英語,23,女性,173
JJN25,国内自然習得,中国語,31,女性,278
FFR27,フランス語,フランス語,21,女性,175
TTH51,タイ語,タイ語,21,女性,228
JJN26,国内自然習得,-,-,-,-
GAT05,ドイツ語,ドイツ語,22,女性,175
TTR46,トルコ語,トルコ語,20,男性,228
JJN27,国内自然習得,-,-,-,-
JJN24,国内自然習得,英語,26,男性,137
CCT45,中国語(台湾),中国語（台湾）,19,女性,228
FFR17,フランス語,フランス語,19,女性,175
TTH29,タイ語,タイ語,20,男性,228
JJN30,国内自然習得,英語,27,男性,156
CCM52,中国語(中国D無),中国語,21,女性,229
TTH45,タイ語,タイ語,22,女性,175
CCT40,中国語(台湾),中国語（台湾）,19,女性,229
GAT25,ドイツ語,ドイツ語,24,男性,175
CCH43,中国語(中国D有),中国語,20,女性,229
CCM29,中国語(中国D無),中国語,21,女性,229
KKR12,韓国語,-,-,-,-
KKR10,韓国語,-,-,-,-
VVN35,ベトナム語,ベトナム語,21,女性,162
TTR04,トルコ語,トルコ語,25,男性,243
KKR11,韓国語,-,-,-,-
CCH25,中国語(中国D有),中国語,20,女性,161
VVN10,ベトナム語,ベトナム語,21,女性,243
RRS01,ロシア語,ロシア語,18,女性,162
TTR34,トルコ語,トルコ語,21,女性,162
KKR51,韓国語,韓国語,22,女性,243
KKR08,韓国語,-,-,-,-
KKR14,韓国語,韓国語,26,女性,235
GAT08,ドイツ語,ドイツ語,23,男性,161
RRS24,ロシア語,ロシア語,20,女性,244
KKR15,韓国語,-,-,-,-
IID31,インドネシア語,インドネシア語,21,女性,161
TTH37,タイ語,タイ語,22,女性,244
KKR16,韓国語,-,-,-,-
KKR13,韓国語,韓国語,24,男性,346
FFR20,フランス語,フランス語,21,女性,161
JJC09,国内教室環境,タイ語,29,男性,244
FFR53,フランス語,フランス語,23,男性,161
KKR50,韓国語,韓国語,23,女性,244
KKR03,韓国語,-,-,-,-
HHG32,ハンガリー語,ハンガリー語,27,男性,163
GDE14,ドイツ語,ドイツ語,33,男性,242
KKR04,韓国語,-,-,-,-
TTH15,タイ語,タイ語,30,女性,241
KKR01,韓国語,-,-,-,-
KKD60,韓国語,-,-,-,-
GAT34,ドイツ語,ドイツ語,25,女性,163
KKR53,韓国語,韓国語,24,女性,241
GAT42,ドイツ語,ドイツ語,25,男性,163
JJE16,国内教室環境,中国語,28,男性,242
KKR05,韓国語,-,-,-,-
KKR35,韓国語,韓国語,26,男性,242
FFR57,フランス語,フランス語,19,女性,162
CCS03,中国語(台湾),中国語（台湾）,21,女性,243
SES05,スペイン語,スペイン語,21,女性,163
KKR06,韓国語,韓国語,20,男性,259
KKR25,韓国語,韓国語,21,女性,163
KKR29,韓国語,-,-,-,-
TTR52,トルコ語,トルコ語,20,男性,159
HHG05,ハンガリー語,ハンガリー語,26,女性,246
KKR28,韓国語,-,-,-,-
GAT07,ドイツ語,ドイツ語,24,女性,158
JJC20,国内教室環境,タイ語,23,女性,246
KKR26,韓国語,韓国語,23,女性,328
RRS35,ロシア語,ロシア語,20,女性,159
CCT26,中国語(台湾),中国語（台湾）,20,女性,246
KKR31,韓国語,韓国語,20,女性,325
TTH24,タイ語,タイ語,22,女性,158
TTH43,タイ語,タイ語,22,女性,246
KKR33,韓国語,-,-,-,-
TTR24,トルコ語,トルコ語,20,女性,158
CCM49,中国語(中国D無),中国語,21,女性,247
KKR30,韓国語,韓国語,23,女性,250
JJC06,国内教室環境,中国語,20,男性,158
JJC47,国内教室環境,モンゴル語,23,男性,246
RRS19,ロシア語,ロシア語,24,男性,158
KKD20,韓国語,韓国語,28,男性,246
CCT17,中国語(台湾),中国語（台湾）,22,女性,246
RRS02,ロシア語,ロシア語,19,女性,159
KKR24,韓国語,韓国語,23,男性,317
KKR19,韓国語,-,-,-,-
HHG23,ハンガリー語,ハンガリー語,24,男性,160
KKR20,韓国語,-,-,-,-
IID10,インドネシア語,インドネシア語,21,女性,160
KKR17,韓国語,-,-,-,-
VVN41,ベトナム語,ベトナム語,21,女性,161
HHG29,ハンガリー語,ハンガリー語,29,女性,245
FFR22,フランス語,フランス語,20,男性,160
JJE68,国内教室環境,韓国語,27,男性,245
KKR21,韓国語,-,-,-,-
JJC02,国内教室環境,中国語,24,男性,159
KKR23,韓国語,韓国語,25,男性,251
CCS54,中国語(台湾),中国語（台湾）,21,男性,246
VVN47,ベトナム語,ベトナム語,21,男性,245
IID25,インドネシア語,インドネシア語,18,男性,159
RRS33,ロシア語,ロシア語,22,女性,245
FFR63,フランス語,フランス語,21,女性,159
KKR22,韓国語,-,-,-,-
KKD33,韓国語,韓国語,23,男性,309
TTH21,タイ語,タイ語,21,女性,237
KKD30,韓国語,-,-,-,-
IID03,インドネシア語,インドネシア語,20,女性,168
TTH52,タイ語,タイ語,21,男性,237
FFR19,フランス語,フランス語,26,男性,168
KKD29,韓国語,韓国語,24,男性,92
KKD28,韓国語,韓国語,21,女性,352
FFR06,フランス語,フランス語,24,女性,168
JJC40,国内教室環境,ロシア語,21,男性,237
CCM06,中国語(中国D無),中国語,21,女性,167
TTR61,トルコ語,トルコ語,22,男性,237
JJC18,国内教室環境,スペイン語,33,男性,167
KKD50,韓国語,韓国語,25,男性,238
KKD37,韓国語,-,-,-,-
TTR28,トルコ語,トルコ語,22,女性,167
KKD35,韓国語,韓国語,24,女性,249
EUS50,英語(D有),英語,26,男性,167
JJN03,国内自然習得,中国語,38,女性,238
EGB28,英語(D有),英語,24,男性,237
EUS31,英語(D有),英語,26,男性,168
KKD27,韓国語,韓国語,26,男性,324
KKD21,韓国語,韓国語,23,男性,299
GAT29,ドイツ語,ドイツ語,25,女性,169
KKD23,韓国語,-,-,-,-
IID50,インドネシア語,インドネシア語,20,女性,169
RRS27,ロシア語,ロシア語,22,女性,235
CCH21,中国語(中国D有),中国語,20,男性,169
JJC36,国内教室環境,中国語（台湾）,35,女性,235
GAT04,ドイツ語,ドイツ語,32,男性,169
KKD41,韓国語,韓国語,21,女性,235
KKD24,韓国語,-,-,-,-
ENZ35,英語(D無),英語,21,女性,168
KKD26,韓国語,-,-,-,-
CCT52,中国語(台湾),中国語（台湾）,21,女性,237
SES53,スペイン語,スペイン語,26,男性,236
KKD25,韓国語,-,-,-,-
SES35,スペイン語,スペイン語,26,女性,169
CCH56,中国語(中国D有),中国語,22,女性,236
TTR57,トルコ語,トルコ語,22,女性,169
KKD54,韓国語,韓国語,25,男性,296
KKD52,韓国語,韓国語,21,女性,166
RRS42,ロシア語,ロシア語,21,女性,165
HHG57,ハンガリー語,ハンガリー語,24,女性,240
KKD53,韓国語,-,-,-,-
VVN45,ベトナム語,ベトナム語,20,男性,165
KKD49,韓国語,-,-,-,-
JJE64,国内教室環境,中国語,21,女性,165
KKR49,韓国語,韓国語,24,女性,239
JJE71,国内教室環境,ペルシア語,21,女性,165
CCS10,中国語(台湾),中国語（台湾）,21,女性,240
KKD57,韓国語,韓国語,27,男性,145
VVN38,ベトナム語,ベトナム語,21,女性,164
VVN29,ベトナム語,ベトナム語,22,女性,240
KKD59,韓国語,-,-,-,-
GAT22,ドイツ語,ドイツ語,21,男性,163
EUS33,英語(D有),英語,35,男性,241
RRS36,ロシア語,ロシア語,20,女性,164
KKD46,韓国語,韓国語,19,男性,240
SES42,スペイン語,スペイン語,21,女性,164
TTH31,タイ語,タイ語,22,男性,240
JJE41,国内教室環境,中国語,26,男性,166
CCT02,中国語(台湾),中国語（台湾）,19,女性,239
KKD43,韓国語,-,-,-,-
CCT29,中国語(台湾),中国語（台湾）,20,男性,239
KKD45,韓国語,-,-,-,-
KKD40,韓国語,-,-,-,-
HHG04,ハンガリー語,ハンガリー語,20,女性,166
CCH38,中国語(中国D有),中国語,20,女性,239
IID52,インドネシア語,インドネシア語,20,男性,166
CCM47,中国語(中国D無),中国語,21,男性,239
KKD48,韓国語,韓国語,24,男性,268
GDE13,ドイツ語,ドイツ語,23,男性,165
EUS02,英語(D有),英語,23,男性,239
IID48,インドネシア語,インドネシア語,21,女性,165
HHG51,ハンガリー語,ハンガリー語,21,女性,239
CCH28,中国語(中国D有),中国語,19,男性,165
EAU24,英語(D無),英語,21,女性,239
EAU16,英語(D無),英語,21,女性,165
ENZ13,英語(D無),英語,22,男性,239
ENZ20,英語(D無),英語,20,女性,191
JJE05,国内教室環境,-,-,-,-
CCT57,中国語(台湾),中国語（台湾）,21,女性,191
JJE07,国内教室環境,-,-,-,-
JJE27,国内教室環境,中国語,26,男性,209
JJE04,国内教室環境,-,-,-,-
JJE03,国内教室環境,-,-,-,-
CCH50,中国語(中国D有),中国語,19,女性,191
JJC46,国内教室環境,中国語,21,女性,209
CCT49,中国語(台湾),中国語（台湾）,23,女性,191
TTH01,タイ語,タイ語,32,男性,209
JJE09,国内教室環境,-,-,-,-
CCH10,中国語(中国D有),中国語,22,女性,210
JJE12,国内教室環境,-,-,-,-
IID45,インドネシア語,インドネシア語,21,女性,191
CCM17,中国語(中国D無),中国語,20,女性,210
JJE13,国内教室環境,-,-,-,-
IID24,インドネシア語,インドネシア語,21,男性,191
JJE11,国内教室環境,ベトナム語,23,女性,135
FFR47,フランス語,フランス語,24,女性,191
VVN55,ベトナム語,ベトナム語,23,未回答,209
JJE37,国内教室環境,-,-,-,-
JJC59,国内教室環境,-,-,-,-
JJC56,国内教室環境,-,-,-,-
TTH19,タイ語,タイ語,21,女性,192
CCH23,中国語(中国D有),中国語,21,女性,209
JJC57,国内教室環境,-,-,-,-
TTH23,タイ語,タイ語,21,女性,192
CCH52,中国語(中国D有),中国語,21,未回答,209
JJC55,国内教室環境,-,-,-,-
JJC52,国内教室環境,-,-,-,-
FFR40,フランス語,フランス語,22,女性,192
IID35,インドネシア語,インドネシア語,21,女性,208
HHG26,ハンガリー語,ハンガリー語,20,女性,192
CCH18,中国語(中国D有),中国語,21,女性,209
JJC62,国内教室環境,ベトナム語,20,男性,260
VVN30,ベトナム語,ベトナム語,21,女性,192
FFR10,フランス語,フランス語,23,女性,209
JJE01,国内教室環境,-,-,-,-
CCH48,中国語(中国D有),中国語,18,女性,191
JJC15,国内教室環境,中国語,22,女性,209
JJC61,国内教室環境,モンゴル語,19,男性,201
TTR41,トルコ語,トルコ語,22,女性,192
CCT61,中国語(台湾),中国語（台湾）,22,女性,209
TTR50,トルコ語,トルコ語,23,女性,192
EAU38,英語(D無),英語,18,男性,209
JJE32,国内教室環境,モンゴル語,26,男性,258
JJE28,国内教室環境,中国語,26,男性,156
HHG11,ハンガリー語,ハンガリー語,21,女性,190
TTH10,タイ語,タイ語,21,女性,211
JJE31,国内教室環境,-,-,-,-
JJC22,国内教室環境,中国語,27,男性,190
CCS60,中国語(台湾),中国語（台湾）,22,女性,212
JJE26,国内教室環境,-,-,-,-
FFR24,フランス語,フランス語,23,男性,190
IID22,インドネシア語,インドネシア語,22,女性,211
GDE01,ドイツ語,ドイツ語,26,男性,190
JJC29,国内教室環境,スペイン語,43,女性,211
JJE34,国内教室環境,-,-,-,-
CCM18,中国語(中国D無),中国語,21,女性,189
SES25,スペイン語,スペイン語,21,男性,212
JJE36,国内教室環境,-,-,-,-
EUS35,英語(D有),英語,26,女性,189
JJE33,国内教室環境,-,-,-,-
JJE20,国内教室環境,中国語,30,男性,190
HHG48,ハンガリー語,ハンガリー語,24,男性,212
JJE40,国内教室環境,中国語,25,男性,190
RRS30,ロシア語,ロシア語,21,女性,212
TTH36,タイ語,タイ語,21,女性,191
VVN43,ベトナム語,ベトナム語,22,女性,191
RRS32,ロシア語,ロシア語,24,未回答,210
JJE15,国内教室環境,-,-,-,-
RRS49,ロシア語,ロシア語,22,女性,191
CCT34,中国語(台湾),中国語（台湾）,20,女性,210
TTH35,タイ語,タイ語,20,女性,191
JJE23,国内教室環境,-,-,-,-
JJE22,国内教室環境,中国語,26,男性,195
CCS23,中国語(台湾),中国語（台湾）,22,女性,190
IID06,インドネシア語,インドネシア語,21,女性,211
EUS29,英語(D有),英語,22,女性,190
IID13,インドネシア語,インドネシア語,21,女性,211
JJE21,国内教室環境,-,-,-,-
CCM23,中国語(中国D無),中国語,23,女性,190
TTR35,トルコ語,トルコ語,20,男性,210
CCM37,中国語(中国D無),中国語,21,女性,190
CCH51,中国語(中国D有),中国語,21,女性,211
JJC23,国内教室環境,中国語,26,女性,187
IID01,インドネシア語,インドネシア語,21,女性,196
EUS01,英語(D有),英語,22,女性,205
JJC27,国内教室環境,-,-,-,-
IID15,インドネシア語,インドネシア語,20,男性,205
JJC21,国内教室環境,中国語,23,女性,188
TTH28,タイ語,タイ語,20,女性,197
JJC14,国内教室環境,中国語,20,女性,204
VVN18,ベトナム語,ベトナム語,21,女性,197
CCS18,中国語(台湾),中国語（台湾）,21,女性,205
JJC31,国内教室環境,-,-,-,-
EGB22,英語(D有),英語,20,女性,195
TTH07,タイ語,タイ語,19,女性,205
JJC32,国内教室環境,-,-,-,-
ENZ39,英語(D無),英語,20,女性,195
SES27,スペイン語,スペイン語,25,男性,196
TTR12,トルコ語,トルコ語,21,女性,196
RRS40,ロシア語,ロシア語,20,女性,205
TTH16,タイ語,タイ語,20,女性,198
EAU36,英語(D無),英語,20,女性,203
CCH29,中国語(中国D有),中国語,20,女性,203
HHG54,ハンガリー語,ハンガリー語,21,女性,198
JJC13,国内教室環境,-,-,-,-
VVN26,ベトナム語,ベトナム語,19,女性,202
JJC19,国内教室環境,中国語,25,男性,220
RRS48,ロシア語,ロシア語,19,女性,203
EGB29,英語(D有),英語,22,女性,204
EAU31,英語(D無),英語,20,女性,197
HHG10,ハンガリー語,ハンガリー語,29,女性,203
HHG21,ハンガリー語,ハンガリー語,22,男性,197
IID29,インドネシア語,インドネシア語,21,女性,203
FFR50,フランス語,フランス語,22,男性,206
CCM45,中国語(中国D無),中国語,21,女性,193
RRS26,ロシア語,ロシア語,19,女性,207
GAT28,ドイツ語,ドイツ語,21,女性,207
VVN42,ベトナム語,ベトナム語,21,女性,194
JJC45,国内教室環境,中国語（台湾）,25,男性,280
VVN23,ベトナム語,ベトナム語,20,女性,194
JJC43,国内教室環境,-,-,-,-
GAT03,ドイツ語,ドイツ語,23,女性,207
CCT25,中国語(台湾),中国語（台湾）,20,女性,193
JJC50,国内教室環境,韓国語,23,女性,260
VVN16,ベトナム語,ベトナム語,21,女性,193
IID19,インドネシア語,インドネシア語,22,女性,208
JJC51,国内教室環境,-,-,-,-
CCM36,中国語(中国D無),中国語,21,女性,192
IID32,インドネシア語,インドネシア語,21,女性,208
JJC48,国内教室環境,中国語（台湾）,27,男性,295
VVN21,ベトナム語,ベトナム語,21,女性,207
TTH13,タイ語,タイ語,20,女性,193
GAT21,ドイツ語,ドイツ語,24,女性,208
CCM43,中国語(中国D無),中国語,21,男性,207
RRS44,ロシア語,ロシア語,18,男性,194
JJC35,国内教室環境,中国語（台湾）,25,女性,260
EAU05,英語(D無),英語,21,男性,194
JJC34,国内教室環境,中国語（台湾）,28,女性,206
HHG16,ハンガリー語,ハンガリー語,24,女性,206
GAT38,ドイツ語,ドイツ語,35,女性,206
GAT16,ドイツ語,ドイツ語,24,女性,195
EAU37,英語(D無),英語,22,男性,194
TTH40,タイ語,タイ語,20,女性,206
JJC39,国内教室環境,ネパール語,22,男性,258
GDE15,ドイツ語,ドイツ語,21,女性,194
GDE10,ドイツ語,ドイツ語,23,男性,194
TTH32,タイ語,タイ語,22,女性,206
JJC38,国内教室環境,中国語（台湾）,25,男性,272
RRS23,ロシア語,ロシア語,22,女性,206
EGB11,英語(D有),英語,21,男性,194
JJC37,国内教室環境,-,-,-,-
SES04,スペイン語,スペイン語,21,女性,206
TTR48,トルコ語,トルコ語,23,女性,212
JJJ28,日本語母語話者,-,-,-,-
JJJ25,日本語母語話者,-,-,-,-
KKR55,韓国語,韓国語,21,男性,220
JJJ26,日本語母語話者,-,-,-,-
GAT17,ドイツ語,ドイツ語,21,女性,182
CCS14,中国語(台湾),中国語（台湾）,21,女性,221
JJJ27,日本語母語話者,-,-,-,-
GAT39,ドイツ語,ドイツ語,25,男性,182
EAU20,英語(D無),英語,18,女性,221
JJJ23,日本語母語話者,-,-,-,-
JJJ21,日本語母語話者,-,-,-,-
HHG30,ハンガリー語,ハンガリー語,25,男性,183
VVN12,ベトナム語,ベトナム語,21,女性,219
IID39,インドネシア語,インドネシア語,21,女性,183
JJJ24,日本語母語話者,-,-,-,-
IID40,インドネシア語,インドネシア語,21,女性,183
VVN06,ベトナム語,ベトナム語,21,女性,219
JJJ32,日本語母語話者,-,-,-,-
VVN05,ベトナム語,ベトナム語,24,女性,182
JJJ33,日本語母語話者,-,-,-,-
CCH36,中国語(中国D有),中国語,21,男性,181
EAU07,英語(D無),英語,19,女性,222
JJJ35,日本語母語話者,-,-,-,-
CCM44,中国語(中国D無),中国語,21,女性,181
TTH49,タイ語,タイ語,21,女性,182
JJJ31,日本語母語話者,-,-,-,-
JJJ30,日本語母語話者,-,-,-,-
JJE60,国内教室環境,中国語,29,男性,182
HHG31,ハンガリー語,ハンガリー語,22,女性,221
JJJ29,日本語母語話者,-,-,-,-
SES06,スペイン語,スペイン語,21,女性,182
JJE65,国内教室環境,中国語,25,男性,221
SES41,スペイン語,スペイン語,26,女性,182
GDE16,ドイツ語,ドイツ語,22,女性,183
JJJ14,日本語母語話者,-,-,-,-
JJJ11,日本語母語話者,-,-,-,-
EGB07,英語(D有),英語,19,女性,184
JJC12,国内教室環境,ベトナム語,27,男性,218
JJJ12,日本語母語話者,-,-,-,-
FFR49,フランス語,フランス語,19,女性,184
VVN51,ベトナム語,ベトナム語,23,女性,218
