協力者,調査地,母語,年齢,性別,J-CAT (合計)
JJJ13,日本語母語話者,-,-,-,-
FFR64,フランス語,フランス語,23,女性,184
CCT55,中国語(台湾),中国語（台湾）,20,女性,219
CCT33,中国語(台湾),中国語（台湾）,20,女性,218
CCM39,中国語(中国D無),中国語,20,女性,184
JJJ09,日本語母語話者,-,-,-,-
VVN24,ベトナム語,ベトナム語,20,女性,217
JJJ08,日本語母語話者,-,-,-,-
TTR59,トルコ語,トルコ語,22,男性,185
CCM02,中国語(中国D無),中国語,19,女性,218
JJJ10,日本語母語話者,-,-,-,-
VVN33,ベトナム語,ベトナム語,23,女性,185
CCT05,中国語(台湾),中国語（台湾）,20,女性,218
JJJ20,日本語母語話者,-,-,-,-
RRS45,ロシア語,ロシア語,20,女性,184
JJN05,国内自然習得,英語,36,女性,219
JJJ18,日本語母語話者,-,-,-,-
SES36,スペイン語,スペイン語,28,女性,184
TTH12,タイ語,タイ語,22,女性,219
JJJ19,日本語母語話者,-,-,-,-
EAU11,英語(D無),英語,19,女性,183
TTR43,トルコ語,トルコ語,21,男性,219
JJJ17,日本語母語話者,-,-,-,-
IID23,インドネシア語,インドネシア語,22,女性,184
GAT19,ドイツ語,ドイツ語,21,男性,184
GAT45,ドイツ語,ドイツ語,21,女性,219
JJJ15,日本語母語話者,-,-,-,-
HHG13,ハンガリー語,ハンガリー語,23,女性,219
JJJ16,日本語母語話者,-,-,-,-
JJE50,国内教室環境,中国語,21,女性,219
JJJ36,日本語母語話者,-,-,-,-
RRS55,ロシア語,ロシア語,20,女性,179
EGB03,英語(D有),英語,21,男性,224
JJN01,国内自然習得,-,-,-,-
SES30,スペイン語,スペイン語,29,男性,179
HHG19,ハンガリー語,ハンガリー語,28,女性,224
JJJ57,日本語母語話者,-,-,-,-
JJJ54,日本語母語話者,-,-,-,-
JJC10,国内教室環境,中国語,26,男性,179
CCH22,中国語(中国D有),中国語,19,女性,224
JJJ55,日本語母語話者,-,-,-,-
CCH54,中国語(中国D有),中国語,18,女性,224
JJJ56,日本語母語話者,-,-,-,-
RRS46,ロシア語,ロシア語,19,女性,179
CCS48,中国語(台湾),中国語（台湾）,21,女性,224
FFR61,フランス語,フランス語,24,男性,178
GAT12,ドイツ語,ドイツ語,22,男性,225
JJN06,国内自然習得,-,-,-,-
HHG50,ハンガリー語,ハンガリー語,21,女性,178
GAT14,ドイツ語,ドイツ語,26,男性,225
JJN04,国内自然習得,スペイン語,26,男性,214
TTH47,タイ語,タイ語,21,女性,179
RRS20,ロシア語,ロシア語,19,女性,224
EAU23,英語(D無),英語,19,女性,178
TTH41,タイ語,タイ語,20,女性,224
JJJ43,日本語母語話者,-,-,-,-
CCM16,中国語(中国D無),中国語,23,男性,223
JJJ44,日本語母語話者,-,-,-,-
RRS25,ロシア語,ロシア語,20,女性,180
CCS37,中国語(台湾),中国語（台湾）,21,女性,223
JJJ45,日本語母語話者,-,-,-,-
VVN19,ベトナム語,ベトナム語,20,女性,180
EGB21,英語(D有),英語,21,男性,223
JJJ46,日本語母語話者,-,-,-,-
JJJ37,日本語母語話者,-,-,-,-
IID28,インドネシア語,インドネシア語,21,女性,181
RRS03,ロシア語,ロシア語,21,男性,181
JJE58,国内教室環境,中国語,24,女性,222
JJJ39,日本語母語話者,-,-,-,-
HHG18,ハンガリー語,ハンガリー語,22,女性,180
CCH32,中国語(中国D有),中国語,23,女性,223
VVN37,ベトナム語,ベトナム語,21,女性,180
JJJ51,日本語母語話者,-,-,-,-
JJJ50,日本語母語話者,-,-,-,-
FFR08,フランス語,フランス語,20,女性,179
KKR37,韓国語,韓国語,24,男性,223
FFR38,フランス語,フランス語,22,女性,179
TTH44,タイ語,タイ語,22,女性,223
JJJ52,日本語母語話者,-,-,-,-
FFR60,フランス語,フランス語,24,男性,179
TTH53,タイ語,タイ語,22,女性,223
HHG28,ハンガリー語,ハンガリー語,22,男性,223
GAT01,ドイツ語,ドイツ語,21,女性,223
JJJ48,日本語母語話者,-,-,-,-
JJJ47,日本語母語話者,-,-,-,-
CCS41,中国語(台湾),中国語（台湾）,21,女性,179
GAT24,ドイツ語,ドイツ語,21,女性,223
EGB10,英語(D有),英語,18,男性,179
EGB08,英語(D有),英語,20,女性,179
GAT46,ドイツ語,ドイツ語,21,女性,223
JJJ49,日本語母語話者,-,-,-,-
TTH38,タイ語,タイ語,19,男性,185
JJJ07,日本語母語話者,-,-,-,-
JJE53,国内教室環境,中国語,21,女性,214
VVN04,ベトナム語,ベトナム語,22,女性,188
IID26,インドネシア語,インドネシア語,20,女性,214
VVN27,ベトナム語,ベトナム語,20,男性,188
IID36,インドネシア語,インドネシア語,23,男性,214
JJE47,国内教室環境,中国語,32,男性,247
EAU28,英語(D無),英語,24,男性,214
EGB30,英語(D有),英語,25,女性,214
JJE61,国内教室環境,-,-,-,-
TTH22,タイ語,タイ語,21,女性,214
VVN13,ベトナム語,ベトナム語,22,女性,214
JJE57,国内教室環境,-,-,-,-
GAT23,ドイツ語,ドイツ語,22,女性,187
JJE39,国内教室環境,中国語,25,男性,199
TTR17,トルコ語,トルコ語,20,男性,189
RRS39,ロシア語,ロシア語,22,女性,213
CCT22,中国語(台湾),中国語（台湾）,21,女性,213
TTR14,トルコ語,トルコ語,22,男性,189
CCM12,中国語(中国D無),中国語,22,男性,213
TTH14,タイ語,タイ語,20,女性,189
JJE38,国内教室環境,-,-,-,-
VVN11,ベトナム語,ベトナム語,21,女性,189
TTH27,タイ語,タイ語,20,女性,213
CCH34,中国語(中国D有),中国語,20,女性,214
JJE45,国内教室環境,中国語,21,女性,185
IID18,インドネシア語,インドネシア語,21,女性,188
CCT20,中国語(台湾),中国語（台湾）,21,女性,214
GDE06,ドイツ語,ドイツ語,32,男性,188
CCT08,中国語(台湾),中国語（台湾）,21,女性,188
CCH19,中国語(中国D有),中国語,19,女性,214
TTR33,トルコ語,トルコ語,20,女性,186
TTH05,タイ語,タイ語,22,女性,186
HHG44,ハンガリー語,ハンガリー語,32,男性,216
TTR06,トルコ語,トルコ語,24,男性,186
RRS47,ロシア語,ロシア語,19,女性,216
JJE72,国内教室環境,-,-,-,-
RRS34,ロシア語,ロシア語,22,女性,186
ENZ29,英語(D無),英語,22,女性,216
SES16,スペイン語,スペイン語,22,女性,186
GAT41,ドイツ語,ドイツ語,19,女性,216
CCS38,中国語(台湾),中国語（台湾）,22,女性,217
JJJ01,日本語母語話者,-,-,-,-
JJJ04,日本語母語話者,-,-,-,-
GAT09,ドイツ語,ドイツ語,21,女性,185
SES28,スペイン語,スペイン語,25,女性,217
JJJ05,日本語母語話者,-,-,-,-
TTH39,タイ語,タイ語,21,女性,217
JJJ06,日本語母語話者,-,-,-,-
TTR56,トルコ語,トルコ語,21,男性,217
JJJ02,日本語母語話者,-,-,-,-
VVN39,ベトナム語,ベトナム語,21,女性,186
CCM07,中国語(中国D無),中国語,20,女性,185
IID46,インドネシア語,インドネシア語,20,女性,217
JJJ03,日本語母語話者,-,-,-,-
EUS24,英語(D有),英語,22,男性,185
JJE63,国内教室環境,中国語,22,男性,157
HHG25,ハンガリー語,ハンガリー語,22,女性,186
CCM31,中国語(中国D無),中国語,21,女性,215
JJE62,国内教室環境,中国語,24,女性,200
VVN15,ベトナム語,ベトナム語,29,女性,187
VVN56,ベトナム語,ベトナム語,29,女性,214
CCH40,中国語(中国D有),中国語,20,女性,215
CCH30,中国語(中国D有),中国語,19,男性,186
HHG58,ハンガリー語,ハンガリー語,21,女性,186
JJC03,国内教室環境,中国語,19,女性,186
CCT28,中国語(台湾),中国語（台湾）,21,女性,216
CCM13,中国語(中国D無),中国語,20,女性,216
JJE66,国内教室環境,中国語,22,男性,148
IID09,インドネシア語,インドネシア語,20,女性,186
VVN49,ベトナム語,ベトナム語,22,女性,215
CCM54,中国語(中国D無),中国語,21,女性,300
CCM01,中国語(中国D無),中国語,19,男性,299
TTR08,トルコ語,-,-,-,-
JJC04,国内教室環境,ベトナム語,24,男性,104
TTR10,トルコ語,-,-,-,-
TTR25,トルコ語,トルコ語,19,男性,106
TTR05,トルコ語,トルコ語,20,女性,119
EAU09,英語(D無),英語,21,男性,106
CCS45,中国語(台湾),中国語（台湾）,21,女性,298
RRS29,ロシア語,ロシア語,19,女性,106
SES12,スペイン語,スペイン語,27,女性,104
TTR11,トルコ語,-,-,-,-
SES54,スペイン語,スペイン語,24,男性,102
IID54,インドネシア語,インドネシア語,21,男性,101
TTR15,トルコ語,-,-,-,-
CCM53,中国語(中国D無),中国語,23,男性,103
CCS04,中国語(台湾),中国語（台湾）,21,女性,300
SES47,スペイン語,スペイン語,21,男性,103
HHG46,ハンガリー語,ハンガリー語,28,女性,301
TTH50,タイ語,タイ語,30,女性,322
TTR02,トルコ語,トルコ語,22,女性,111
SES03,スペイン語,スペイン語,24,女性,110
CCT18,中国語(台湾),中国語（台湾）,19,男性,295
TTH48,タイ語,タイ語,21,女性,141
FFR02,フランス語,フランス語,20,女性,112
EGB13,英語(D有),英語,25,男性,107
CCT23,中国語(台湾),中国語（台湾）,21,女性,297
TTR03,トルコ語,-,-,-,-
IID12,インドネシア語,インドネシア語,22,女性,107
EUS11,英語(D有),英語,24,男性,109
KKR38,韓国語,韓国語,23,女性,296
EUS53,英語(D有),英語,19,女性,91
EUS54,英語(D有),英語,21,女性,91
TTR27,トルコ語,-,-,-,-
TTR54,トルコ語,トルコ語,24,男性,94
CCT14,中国語(台湾),中国語（台湾）,21,女性,313
CCT37,中国語(台湾),中国語（台湾）,21,女性,314
TTR36,トルコ語,トルコ語,20,男性,95
TTR37,トルコ語,-,-,-,-
IID08,インドネシア語,インドネシア語,21,男性,85
CCT24,中国語(台湾),中国語（台湾）,22,女性,321
CCS32,中国語(台湾),中国語（台湾）,21,女性,320
EGB05,英語(D有),英語,25,男性,88
EUS55,英語(D有),英語,26,男性,90
CCM35,中国語(中国D無),中国語,21,女性,320
CCT10,中国語(台湾),中国語（台湾）,21,女性,307
EUS26,英語(D有),英語,21,女性,95
GDE04,ドイツ語,ドイツ語,23,男性,309
TTR19,トルコ語,-,-,-,-
TTR23,トルコ語,トルコ語,18,女性,98
TTR16,トルコ語,-,-,-,-
SES08,スペイン語,スペイン語,20,男性,101
CCS50,中国語(台湾),中国語（台湾）,21,女性,304
RRS04,ロシア語,ロシア語,20,男性,304
EUS36,英語(D有),英語,20,男性,95
TTR20,トルコ語,-,-,-,-
CCS09,中国語(台湾),中国語（台湾）,21,男性,310
EUS05,英語(D有),英語,18,女性,94
EUS42,英語(D有),英語,22,女性,95
CCM50,中国語(中国D無),中国語,21,女性,310
TTH25,タイ語,タイ語,21,女性,268
IID02,インドネシア語,インドネシア語,21,女性,124
SES18,スペイン語,スペイン語,27,男性,125
HHG02,ハンガリー語,ハンガリー語,24,女性,282
EUS21,英語(D有),英語,19,女性,124
HHG55,ハンガリー語,ハンガリー語,21,女性,283
SES19,スペイン語,スペイン語,24,男性,122
KKR40,韓国語,韓国語,28,男性,285
EUS30,英語(D有),英語,19,女性,121
ENZ18,英語(D無),英語,19,女性,122
TTH26,タイ語,-,-,-,-
EAU08,英語(D無),英語,19,女性,123
EUS14,英語(D有),英語,22,女性,284
SES15,スペイン語,スペイン語,27,男性,123
CCM15,中国語(中国D無),中国語,22,女性,285
VVN53,ベトナム語,ベトナム語,22,女性,127
KKR45,韓国語,韓国語,20,女性,279
JJC11,国内教室環境,中国語,23,男性,126
KKR54,韓国語,韓国語,24,男性,279
TTH11,タイ語,タイ語,26,女性,275
CCT07,中国語(台湾),中国語（台湾）,20,男性,279
SES17,スペイン語,スペイン語,21,女性,127
EUS39,英語(D有),英語,24,男性,125
TTH03,タイ語,タイ語,21,男性,281
CCH12,中国語(中国D有),中国語,19,男性,282
CCT46,中国語(台湾),中国語（台湾）,21,男性,281
ENZ14,英語(D無),英語,24,女性,125
TTH18,タイ語,-,-,-,-
CCH55,中国語(中国D有),中国語,23,女性,286
EGB04,英語(D有),英語,25,女性,116
CCT31,中国語(台湾),中国語（台湾）,21,女性,292
FFR26,フランス語,フランス語,27,男性,116
CCS51,中国語(台湾),中国語（台湾）,21,女性,291
RRS43,ロシア語,ロシア語,20,女性,117
SES37,スペイン語,スペイン語,24,男性,117
SES22,スペイン語,スペイン語,24,女性,114
CCH09,中国語(中国D有),中国語,21,女性,294
EUS08,英語(D有),英語,19,女性,113
CCS52,中国語(台湾),中国語（台湾）,21,女性,294
GDE02,ドイツ語,ドイツ語,23,未回答,114
CCH16,中国語(中国D有),中国語,22,女性,293
JJC08,国内教室環境,中国語,21,男性,114
CCS53,中国語(台湾),中国語（台湾）,22,男性,293
HHG03,ハンガリー語,ハンガリー語,25,女性,288
RRS10,ロシア語,ロシア語,19,女性,117
FFR36,フランス語,フランス語,19,女性,119
TTH33,タイ語,-,-,-,-
CCH07,中国語(中国D有),中国語,20,女性,287
FFR30,フランス語,フランス語,19,女性,120
CCT38,中国語(台湾),中国語（台湾）,22,男性,286
IID38,インドネシア語,インドネシア語,21,女性,120
CCT44,中国語(台湾),中国語（台湾）,21,女性,286
VVN20,ベトナム語,ベトナム語,20,女性,118
EUS15,英語(D有),英語,22,女性,117
CCM33,中国語(中国D無),中国語,22,女性,288
CCS08,中国語(台湾),中国語（台湾）,22,女性,287
HHG61,ハンガリー語,ハンガリー語,20,男性,118
HHG40,ハンガリー語,ハンガリー語,23,女性,287
VVN32,ベトナム語,ベトナム語,22,女性,153
VVN28,ベトナム語,-,-,-,-
VVN36,ベトナム語,ベトナム語,21,女性,157
VVN22,ベトナム語,-,-,-,-
VVN25,ベトナム語,-,-,-,-
VVN50,ベトナム語,-,-,-,-
VVN40,ベトナム語,ベトナム語,20,女性,261
VVN46,ベトナム語,ベトナム語,22,男性,152
TTR55,トルコ語,トルコ語,19,女性,70
TTR53,トルコ語,-,-,-,-
EUS49,英語(D有),英語,23,男性,68
CCS55,中国語(台湾),中国語（台湾）,21,女性,336
TTR51,トルコ語,トルコ語,21,女性,84
SES07,スペイン語,スペイン語,21,女性,74
FFR56,フランス語,フランス語,21,男性,72
EUS38,英語(D有),英語,18,女性,61
EUS25,英語(D有),英語,19,女性,65
TTR58,トルコ語,-,-,-,-
CCS40,中国語(台湾),中国語（台湾）,21,女性,338
SES40,スペイン語,スペイン語,22,女性,66
CCS24,中国語(台湾),中国語（台湾）,21,男性,332
TTR42,トルコ語,-,-,-,-
JJC05,国内教室環境,中国語,22,男性,83
TTR45,トルコ語,-,-,-,-
SES58,スペイン語,スペイン語,33,男性,85
KKR44,韓国語,韓国語,26,女性,321
RRS18,ロシア語,ロシア語,21,男性,81
TTH09,タイ語,タイ語,22,女性,331
TTR49,トルコ語,-,-,-,-
TTR47,トルコ語,トルコ語,23,女性,150
SES56,スペイン語,スペイン語,22,男性,82
CCS39,中国語(台湾),中国語（台湾）,21,女性,347
VVN09,ベトナム語,-,-,-,-
KKR43,韓国語,韓国語,23,男性,355
VVN03,ベトナム語,-,-,-,-
SES09,スペイン語,スペイン語,21,女性,59
CCM51,中国語(中国D無),中国語,20,女性,354
SES20,スペイン語,スペイン語,26,女性,150
CCM24,中国語(中国D無),中国語,21,女性,257
FFR31,フランス語,フランス語,19,女性,150
CCM20,中国語(中国D無),中国語,22,男性,256
ENZ38,英語(D無),英語,19,男性,149
EAU40,英語(D無),英語,24,女性,257
GAT10,ドイツ語,ドイツ語,27,男性,149
CCT53,中国語(台湾),中国語（台湾）,22,女性,257
ENZ30,英語(D無),英語,21,女性,149
CCS13,中国語(台湾),中国語（台湾）,22,女性,257
CCS17,中国語(台湾),中国語（台湾）,21,男性,257
RRS15,ロシア語,ロシア語,18,女性,133
HHG53,ハンガリー語,ハンガリー語,21,女性,151
CCS56,中国語(台湾),中国語（台湾）,21,女性,254
RRS16,ロシア語,-,-,-,-
IID34,インドネシア語,インドネシア語,21,女性,151
CCT16,中国語(台湾),中国語（台湾）,20,女性,254
RRS13,ロシア語,ロシア語,22,未回答,201
GAT36,ドイツ語,ドイツ語,23,女性,151
CCS30,中国語(台湾),中国語（台湾）,21,女性,254
HHG49,ハンガリー語,ハンガリー語,20,女性,151
CCS46,中国語(台湾),中国語（台湾）,21,女性,254
IID43,インドネシア語,インドネシア語,21,女性,151
EUS03,英語(D有),英語,23,女性,254
RRS21,ロシア語,-,-,-,-
RRS59,ロシア語,ロシア語,18,女性,151
CCT27,中国語(台湾),中国語（台湾）,20,女性,255
RRS22,ロシア語,-,-,-,-
SES38,スペイン語,スペイン語,25,男性,151
CCH37,中国語(中国D有),中国語,20,男性,255
KKR58,韓国語,韓国語,21,女性,254
RRS58,ロシア語,ロシア語,19,女性,151
IID49,インドネシア語,インドネシア語,20,女性,145
HHG47,ハンガリー語,ハンガリー語,31,男性,259
CCM27,中国語(中国D無),中国語,20,女性,259
FFR54,フランス語,フランス語,19,女性,146
EAU30,英語(D無),英語,23,女性,144
CCS16,中国語(台湾),中国語（台湾）,21,女性,260
RRS53,ロシア語,-,-,-,-
ENZ41,英語(D無),英語,21,男性,144
CCT48,中国語(台湾),中国語（台湾）,23,女性,260
RRS38,ロシア語,ロシア語,18,未回答,145
EAU29,英語(D無),英語,21,女性,144
CCM05,中国語(中国D無),中国語,21,未回答,259
CCH49,中国語(中国D有),中国語,20,女性,147
SES49,スペイン語,スペイン語,30,女性,149
CCT19,中国語(台湾),中国語（台湾）,21,女性,258
FFR13,フランス語,フランス語,20,男性,148
CCT51,中国語(台湾),中国語（台湾）,22,女性,258
SES39,スペイン語,スペイン語,33,女性,149
CCH17,中国語(中国D有),中国語,21,女性,258
SES11,スペイン語,スペイン語,35,男性,148
FFR18,フランス語,フランス語,23,男性,148
HHG56,ハンガリー語,ハンガリー語,23,女性,258
GAT30,ドイツ語,ドイツ語,33,女性,148
KKR46,韓国語,韓国語,25,男性,267
CCT11,中国語(台湾),中国語（台湾）,22,女性,249
CCT50,中国語(台湾),中国語（台湾）,21,女性,249
KKR47,韓国語,韓国語,23,男性,248
FFR11,フランス語,フランス語,21,女性,154
CCM32,中国語(中国D無),中国語,21,女性,250
IID33,インドネシア語,インドネシア語,21,女性,155
CCT60,中国語(台湾),中国語（台湾）,21,女性,249
KKR36,韓国語,韓国語,20,男性,248
EUS46,英語(D有),英語,18,男性,156
KKR41,韓国語,韓国語,21,女性,264
SES02,スペイン語,スペイン語,24,女性,157
EGB23,英語(D有),英語,19,男性,157
CCT56,中国語(台湾),中国語（台湾）,21,女性,247
EUS12,英語(D有),英語,19,女性,157
HHG59,ハンガリー語,ハンガリー語,25,男性,247
CCH59,中国語(中国D有),中国語,20,女性,248
KKR39,韓国語,韓国語,24,男性,277
CCH03,中国語(中国D有),中国語,21,男性,248
CCH42,中国語(中国D有),中国語,21,女性,248
RRS56,ロシア語,ロシア語,24,女性,252
JJC01,国内教室環境,中国語,19,男性,152
CCM40,中国語(中国D無),中国語,22,未回答,252
RRS05,ロシア語,-,-,-,-
IID44,インドネシア語,インドネシア語,21,男性,152
FFR62,フランス語,フランス語,24,男性,251
FFR01,フランス語,フランス語,21,女性,152
RRS06,ロシア語,-,-,-,-
ENZ48,英語(D無),英語,20,女性,151
CCM34,中国語(中国D無),中国語,21,女性,253
FFR46,フランス語,フランス語,23,女性,151
CCT04,中国語(台湾),中国語（台湾）,19,女性,253
CCH08,中国語(中国D有),中国語,21,女性,253
EGB01,英語(D有),英語,20,男性,151
CCM25,中国語(中国D無),中国語,24,女性,253
SES14,スペイン語,スペイン語,31,男性,154
HHG09,ハンガリー語,ハンガリー語,23,女性,250
KKR52,韓国語,韓国語,27,男性,278
FFR55,フランス語,フランス語,20,女性,154
CCS26,中国語(台湾),中国語（台湾）,21,男性,250
GAT43,ドイツ語,ドイツ語,21,女性,154
CCS42,中国語(台湾),中国語（台湾）,21,女性,250
SES34,スペイン語,スペイン語,23,男性,153
CCM03,中国語(中国D無),中国語,21,女性,251
TTH08,タイ語,タイ語,19,女性,153
CCM41,中国語(中国D無),中国語,22,女性,251
KKR56,韓国語,-,-,-,-
EAU32,英語(D無),英語,19,女性,153
SES24,スペイン語,スペイン語,41,女性,153
GDE09,ドイツ語,ドイツ語,23,女性,134
FFR37,フランス語,フランス語,22,女性,134
CCS49,中国語(台湾),中国語（台湾）,22,女性,272
CCT54,中国語(台湾),中国語（台湾）,20,女性,271
EUS43,英語(D有),英語,25,男性,134
CCT15,中国語(台湾),中国語（台湾）,20,女性,271
SES43,スペイン語,スペイン語,25,女性,135
ENZ31,英語(D無),英語,19,女性,272
EUS13,英語(D有),英語,20,女性,133
CCM22,中国語(中国D無),中国語,20,女性,274
SES48,スペイン語,-,-,-,-
SES45,スペイン語,スペイン語,22,女性,130
IID55,インドネシア語,インドネシア語,21,女性,134
EUS20,英語(D有),英語,22,男性,144
SES33,スペイン語,-,-,-,-
SES55,スペイン語,スペイン語,28,男性,136
HHG12,ハンガリー語,ハンガリー語,21,女性,268
FFR32,フランス語,フランス語,25,女性,136
CCM11,中国語(中国D無),中国語,23,女性,268
IID42,インドネシア語,インドネシア語,22,男性,136
CCM30,中国語(中国D無),中国語,22,男性,271
HHG27,ハンガリー語,ハンガリー語,24,女性,135
CCS25,中国語(台湾),中国語（台湾）,22,男性,270
FFR25,フランス語,フランス語,20,女性,135
FFR35,フランス語,フランス語,20,女性,135
TTH04,タイ語,-,-,-,-
CCS02,中国語(台湾),中国語（台湾）,21,女性,277
FFR04,フランス語,フランス語,20,女性,130
SES26,スペイン語,スペイン語,26,男性,131
CCS33,中国語(台湾),中国語（台湾）,22,女性,276
ENZ32,英語(D無),英語,21,女性,130
CCT13,中国語(台湾),中国語（台湾）,21,女性,276
EUS18,英語(D有),英語,19,男性,129
CCS07,中国語(台湾),中国語（台湾）,21,女性,274
EUS23,英語(D有),英語,18,女性,128
IID41,インドネシア語,インドネシア語,21,女性,129
CCS12,中国語(台湾),中国語（台湾）,21,女性,278
CCT59,中国語(台湾),中国語（台湾）,23,女性,278
SES52,スペイン語,-,-,-,-
EUS47,英語(D有),英語,19,男性,132
CCS57,中国語(台湾),中国語（台湾）,22,女性,275
CCS20,中国語(台湾),中国語（台湾）,21,女性,275
EUS40,英語(D有),英語,29,男性,131
CCS29,中国語(台湾),中国語（台湾）,21,女性,262
RRS60,ロシア語,ロシア語,19,女性,261
HHG36,ハンガリー語,ハンガリー語,25,男性,140
ENZ23,英語(D無),英語,21,女性,139
FFR59,フランス語,フランス語,20,女性,140
CCH45,中国語(中国D有),中国語,21,男性,264
HHG08,ハンガリー語,ハンガリー語,23,女性,141
ENZ27,英語(D無),英語,21,男性,143
ENZ43,英語(D無),英語,20,女性,143
HHG33,ハンガリー語,ハンガリー語,27,女性,260
FFR33,フランス語,フランス語,22,男性,144
FFR39,フランス語,フランス語,21,女性,141
CCT41,中国語(台湾),中国語（台湾）,19,女性,261
SES01,スペイン語,-,-,-,-
CCH11,中国語(中国D有),中国語,19,女性,261
CCT39,中国語(台湾),中国語（台湾）,19,女性,261
SES21,スペイン語,スペイン語,24,男性,138
FFR45,フランス語,フランス語,24,女性,137
JJC07,国内教室環境,中国語,21,男性,138
CCH46,中国語(中国D有),中国語,21,女性,266
CCS35,中国語(台湾),中国語（台湾）,22,女性,266
EAU14,英語(D無),英語,19,男性,136
CCM04,中国語(中国D無),中国語,22,女性,267
CCH35,中国語(中国D有),中国語,20,女性,265
CCS01,中国語(台湾),中国語（台湾）,21,女性,265
CCH33,中国語(中国D有),中国語,21,女性,265
FFR51,フランス語,フランス語,21,女性,138
HHG06,ハンガリー語,ハンガリー語,22,男性,138
EGB15,英語(D有),英語,24,女性,138
CCS58,中国語(台湾),中国語（台湾）,21,男性,265
EGB19,英語(D有),英語,21,女性,138
CCT35,中国語(台湾),中国語（台湾）,19,女性,265
IID56,インドネシア語,インドネシア語,20,女性,202
ENZ12,英語(D無),-,-,-,-
ENZ08,英語(D無),英語,18,女性,198
EAU18,英語(D無),-,-,-,-
EAU03,英語(D無),英語,21,女性,198
EGB17,英語(D有),英語,23,男性,200
CCH20,中国語(中国D有),-,-,-,-
CCH27,中国語(中国D有),-,-,-,-
CCH26,中国語(中国D有),中国語,19,女性,198
CCM28,中国語(中国D無),中国語,19,女性,199
CCM19,中国語(中国D無),-,-,-,-
CCM42,中国語(中国D無),中国語,23,男性,200
CCM46,中国語(中国D無),中国語,20,男性,202
IID20,インドネシア語,インドネシア語,21,女性,201
GAT02,ドイツ語,ドイツ語,21,女性,201
GAT40,ドイツ語,ドイツ語,23,女性,200
HHG52,ハンガリー語,ハンガリー語,19,女性,199
IID27,インドネシア語,インドネシア語,21,女性,202
IID17,インドネシア語,インドネシア語,22,女性,202
